Hora;temp1;temp2; vazao;tempCPU
19:55:30;29,12;29,75;2,91;46
19:55:32;28,56;29,69;2,73;46
19:55:33;29,19;29,19;2,91;46
19:55:35;29,19;29,69;2,91;46
19:55:37;28,62;29,75;2,73;46
19:55:38;29,25;29,69;2,91;46
19:55:40;28,62;29,19;2,91;46
19:55:42;29,19;29,69;2,73;46
19:55:43;29,19;29,75;2,91;46
19:55:45;29,19;29,75;2,73;46
19:55:46;29,19;29,69;2,91;46
19:55:48;29,19;29,69;2,91;46
19:55:50;28,56;29,62;2,73;46
19:55:51;29,19;29,19;2,91;46
19:55:53;29,12;29,19;2,91;46
19:55:54;28,75;29,69;2,73;46
19:55:56;29,19;29,12;2,91;46
19:55:58;29,12;29,69;2,91;46
19:55:59;28,62;29,25;2,73;46
19:56:01;29,19;29,62;2,91;46
19:56:03;28,69;29,62;2,91;46
19:56:04;29,12;29,19;2,91;46
19:56:06;29,25;29,69;2,73;46
19:56:07;28,62;29,75;2,91;46
19:56:09;29,25;29,75;2,91;46
19:56:11;29,19;29,75;2,73;46
19:56:12;28,75;29,75;2,91;46
19:56:14;29,31;29,25;2,91;46
19:56:15;28,69;29,75;2,73;46
19:56:17;29,19;29,19;2,91;46
19:56:19;29,25;29,69;2,91;46
19:56:20;29,19;29,69;2,73;46
19:56:22;29,31;29,81;2,91;46
19:56:24;28,69;29,75;2,73;46
19:56:25;29,31;29,81;2,91;46
19:56:28;29,19;29,75;2,91;46
19:56:28;29,31;29,19;2,73;46
19:56:30;29,19;29,75;2,91;46
19:56:32;29,25;29,62;2,91;46
19:56:33;29,25;29,75;2,73;46
19:56:35;29,31;29,19;2,91;47
19:56:36;29,25;29,69;2,91;47
19:56:38;29,19;29,75;2,73;47
19:56:40;29,25;29,69;2,91;47
19:56:41;28,62;29,75;2,91;47
19:56:43;29,25;29,19;2,73;47
19:56:44;29,25;29,75;2,91;47
19:56:46;29,19;29,69;2,73;47
19:56:48;29,25;29,75;2,91;47
19:56:49;29,25;29,75;2,91;47
19:56:51;29,25;29,62;2,73;47
19:56:53;29,12;29,81;2,91;47
19:56:54;29,19;29,69;2,91;47
19:56:56;29,12;29,75;2,73;47
19:56:57;28,62;29,75;2,91;47
19:56:59;29,19;29,69;2,73;47
19:57:01;29,25;29,25;2,91;47
19:57:02;29,31;29,81;2,73;47
19:57:04;28,62;29,75;2,91;47
19:57:05;29,19;29,75;2,73;47
19:57:07;29,25;29,75;2,91;47
19:57:09;29,19;29,25;2,91;47
19:57:10;29,25;29,19;2,73;47
19:57:12;29,19;29,62;2,91;47
19:57:14;29,19;29,69;2,91;47
19:57:15;29,25;29,69;2,73;47
19:57:17;29,12;29,75;2,91;47
19:57:18;29,25;29,75;2,73;47
19:57:20;29,19;29,75;2,91;47
19:57:22;29,06;29,69;2,91;47
19:57:23;29,12;29,75;2,73;47
19:57:25;29,19;29,81;2,91;47
19:57:26;28,56;29,12;2,91;47
19:57:28;28,50;29,62;2,73;47
19:57:30;29,06;29,69;2,91;47
19:57:31;29,06;29,69;2,73;47
19:57:33;28,50;29,75;2,91;47
19:57:35;29,06;29,62;2,91;47
19:57:36;29,00;29,62;2,73;47
19:57:38;29,00;29,62;2,91;47
19:57:39;28,56;29,62;2,91;47
19:57:41;28,56;29,62;2,73;47
19:57:43;28,56;29,62;2,91;45
19:57:44;29,12;29;2,91;45
19:57:46;29,00;29,5;2,73;45
19:57:47;28,50;29,56;2,91;45
19:57:49;29,00;29,12;2,73;45
19:57:51;29,06;29,62;2,91;45
19:57:52;29,00;29,62;2,91;45
19:57:54;28,62;29,56;2,91;45
19:57:56;29,06;29,06;2,73;45
19:57:57;29,00;29,12;2,91;45
19:57:59;29,00;29,56;2,91;45
19:58:00;28,50;29,69;2,73;45
